tweet_id,sentiment,content
1956967341,empty,_at_ know listenin bad habit earlier started freakin part _eq__col_
1956967666,sadness,layin n bed headache ughhhh_dat__dat__dat_waitin call_dat__dat__dat_
1956967696,sadness,funeral ceremony_dat__dat__dat_gloomy friday_dat__dat__dat_
1956967789,enthusiasm,wants hang friends soon_exc_
1956968416,neutral,_at_ want trade someone houston tickets_com_ one will_dat_
1956968477,worry,re_gui_pinging _at__col_ didn_clo_t go prom_int_ bc bf didn_clo_t like friends
1956968487,sadness,sleep_com_ im not_exc_ thinking old friend want_dat_ he_clo_s married now_dat_ damn_com_ & amp_sem_ wants 2_exc_ scandalous_exc_
1956968636,worry,hmmm_dat_ _url_
1956969035,sadness,_at_ charlene love_dat_ miss
1956969172,sadness,_at_ i_clo_m sorry least it_clo_s friday_int_
1956969456,neutral,cant fall asleep
1956969531,worry,choked retainers
1956970047,sadness,ugh_exc_ beat stupid song get next rude_exc_
1956970424,sadness,_at_ u watch hills london u realise tourture weeks weeks late watch itonlinelol
1956970860,surprise,got news
1956971077,sadness,storm electricity gone
1956971170,love,_at_ agreed
1956971206,sadness,sleepy it_clo_s even late_dat_ fail again_dat_
1956971473,worry,_at_ lady gaga tweeted impressed video leaking know
1956971586,sadness,convinced always wanted you_int_ signals give off_dat__dat__dat_damn think lost another friend
1956971981,worry,_at_ oh bad_exc_ hope gets better_dat_ i_clo_ve sleep issues lately
1956972097,fun,wondering i_clo_m awake 7am_com_writing new song_com_plotting evil secret plots muahahaha_dat__dat__dat_oh damn it_com_not secret anymore
1956972116,neutral,topic maps talks balisage markup conference 2009 program online _url_ _par_via _at__par_ _hashtag_
1956972270,worry,ate something don_clo_t know is_dat__dat__dat_ keep telling things food
1956972359,sadness,tired think i_clo_m definitely going get ear infection_dat_ going bed & quot_sem_early & quot_sem_ once_dat_
1956972444,worry,way home n 2 deal w underage girls drinking gin da bus talking bout keggers_dat__dat__dat__dat__dat__dat_damn feel old
1956972557,sadness,_at_ i_clo_m sorry people rude you_com_ isaac_com_ get manners know better lewd_exc_
1956972884,worry,damm servers still need hit 80 koxpers pass
1956973598,sadness,fudge_dat__dat__dat__dat_ bs_clo_d whole paper_dat__dat__dat__dat_ tired_dat__dat__dat__dat_ ugh hate school_dat__dat__dat__dat__dat_ time sleep_exc__exc__exc__exc__exc__exc__exc__exc__exc__exc__exc_
1956973690,worry,hate cancer_dat_ hate hate hate it_dat_
1956974706,hate,annoying starts typing computer middle night_exc_
1956975441,neutral,_at_ cant sleep
1956975860,neutral,missed bl_ast__ast__ast_y bus_exc__exc__exc__exc__exc__exc__exc__exc_
1956975876,neutral,feels strong contractions wants go out_dat_ _url_
1956975927,neutral,socal_exc_ stoked_dat_ maybe not_dat__dat_ tomorrow
1956976187,neutral,screw _at__exc_ 3 weeks_dat__dat__dat_
1956976312,sadness,_at_ yeah _col_s feel funny cause haven_clo_t slept enough woke mum cause singing she_clo_s impressed _col_s you_int_
1956976371,worry,need skott right
1956976557,neutral,work afternoon
1956976681,neutral,_at_ aw would unfollow would you_int_ would cry
1956977084,happiness,mmm much better day_dat__dat__dat_ far_exc_ it_clo_s still quite early_dat_ last day _hashtag_
1956977187,fun,_at_ & lt_sem_3 gon na first twitter _sem__par_ cause amazing lol_dat_ come canada would anything see perform
1956977618,worry,picked blackberry middle street_exc_ crushed_exc_
1956977624,worry,feeling packing hitting sfo around time year_int_ think i_clo_m missing something_dat__dat__dat_
1956978276,empty,_at_ middle school elem_dat_ high schools remain open need credits graduate_dat_ cali broken
1956978410,worry,bed_exc__exc__exc__exc__exc__dat__dat__dat_ time_com__dat__dat__dat__dat__dat_ hope go school tomorrow_com_ though don_clo_t feel well right
1956978668,worry,_at_ ahh_dat_ _dat__dat__dat_ well_com_ hoping could learn stuff way_dat_ _dat__dat__dat_ work separate things also
1956979150,sadness,i_clo_m problem photo twitter amf_exc__exc__exc__dat__dat__dat_can_clo_t see face_exc_
1956979437,neutral,_at__com_ oh noooo_exc_ blow tire you_clo_re reaaaally going send batman smoke_dat_
1956979756,neutral,wnna take bath_exc__exc__exc__exc_
1956979894,neutral,chocolate milk much better straw_dat_ lack said straw
1956979900,worry,tired_int_
1956979917,empty,_at_ hey yu lil fucker textd yu
1956980788,neutral,_at_ time diff i_clo_ve wrapped day day stuff havent tweeting_dat_ talk soon_com_must sleep_dat__dat__dat_up 6hrs
1956980883,neutral,_at_ way_exc_ damn sucks b_exc_ ok_int_
1956980972,worry,sucks able take days work money take trip sad
1956981427,enthusiasm,bed_dat__dat__dat_sorta_dat_ today good_com_ sara strep thought angelina to_sem_ shared water b4 told me_com_ prob get
1956981850,neutral,_at_ recession_dat_ hotel restructuring accounts done_dat_ adds bit pressure short term we_clo_ll cope
1956982075,neutral,_at_ got dibs sulu_dat__dat__dat_
1956982383,sadness,_at_ aww onward upwards now_com_ yay_exc_ still sad leave bet_dat_
1956982449,worry,_at_ haha_dat_ poor aby still gets sore_exc_
1956982576,sadness,diesel yaris_dat__dat__dat_ 70mpg sad available us_dat_ that_clo_d awesome_dat_
1956982605,sadness,want buy great album unfortunately dont hav enuff funds & quot_sem_long time noisy & quot_sem_
1956983160,sadness,_at_ honesty_dat__dat__dat_pain blech_dat_
1956983171,sadness,ok _dat__dat__dat_ passengers _dat__dat__dat_ one alive _dat__dat__dat_ they_clo_re dead _dat__dat__dat_ don_clo_t know til end _dat__dat__dat_ cry _dat__dat__dat_
1956983467,neutral,home alone much
1956983509,worry,_at_ ia much_exc_ haven_clo_t really happy cooks choices singles_dat_
1956983690,sadness,_at_ _at_ fell asleep beach didn_clo_t put enough sunscreen lol
1956983851,worry,think son might flu cause def_dat_ cleaned stanky puke mess poor pumkpin
